no,eclipse,ours
1,132,52
2,41,50
3,62,80
4,71,62
5,62,58
6,66,95
7,135,94
8,77,80
9,68,3
10,44,54
11,93,142
12,108,226
13,88,292
14,81,4642
15,85,455
16,95,149
17,118,146
18,89,123
19,75,127
20,107,114
21,76,115
22,79,125
23,78,113
24,121,284
25,87,112
26,96,165
27,77,687
28,81,164
29,65,132
31,55,247
34,60,55
35,51,69
36,69,4
37,64,4
38,76,3
39,74,4
40,66,173
41,96,135
42,50,130
43,80,118
44,84,122
45,76,119
46,64,31
47,67,29
48,84,26
49,79,6
50,70,6
51,69,30
52,67,28
53,85,25
54,57,21
55,76,23
56,75,22
57,77,44
58,47,33
59,63,34
60,58,32
61,78,41
62,81,36
63,64,34
64,63,37
65,90,164
66,83,133
67,57,126
68,53,117
69,70,139
70,64,3
71,63,2
72,62,2
73,65,3
74,73,50
75,59,58
76,76,242
77,78,262
78,71,260
79,56,130
80,50,156
81,61,129
82,103,190
83,67,186
84,86,231
85,73,230
