no,eclipse,ours
1,136,7
2,77,2
3,85,2
8,115,9161
10,101,8606
11,91,4
12,100,3
13,103,459
14,125,1665
15,93,16265
17,142,251
18,92,11232
19,74,1647
20,170,82605
21,90,2
22,69,444
23,59,339
24,71,302
27,104,7109
28,76,1
29,63,1
30,39,1
31,100,9616
32,88,471
33,129,574
34,77,374
35,98,537
36,148,10
37,124,119286
38,115,113839
39,72,343
40,81,167
41,66,1063
42,62,2
43,42,2
44,108,6167
45,44,2
46,93,349
47,65,1
48,91,883
49,98,217
50,66,22159
51,67,2
52,71,14
53,97,213
54,68,25845
55,82,2
56,66,356
57,85,380
58,93,2313
59,126,3
60,151,3
61,77,208
63,102,351
64,50,3
65,71,2
66,73,1
67,80,445
68,75,3
69,96,212
70,80,2
71,76,10257
72,87,2
74,60,472
76,99,109
77,40,716
78,81,3943
79,121,3696
80,85,3498
82,94,908
83,69,1
84,71,11048
85,47,2
