no,eclipse,ours
1,492,489
2,120,1504
3,48,1545
4,52,1207
5,38,610
6,38,729
7,42,393
8,44,668
9,82,575
10,150,332
11,51,359
12,35,660
13,47,621
14,31,466
17,78,194
18,34,285
19,32,58
20,145,232
21,119,233
22,132,567
23,130,972
24,156,1486
25,118,1167
26,116,605
27,123,380
28,144,487
29,136,534
30,119,305
31,119,312
32,130,334
33,125,308
34,134,692
35,115,85
36,155,537
37,118,79
38,119,506
39,136,528
40,130,72
41,117,437
42,134,195
43,117,201
44,119,46
45,128,44
46,144,44
47,118,46
48,147,294
49,135,202
50,122,245
51,130,96
53,157,67
54,117,665
55,129,43
56,132,43
57,140,272
58,133,48
59,140,66
60,120,381
61,150,466
62,130,304
63,123,825
64,128,468
66,118,488
67,117,75
68,161,464
69,143,67
70,129,460
71,118,70
72,134,456
73,122,1544
74,122,320
75,126,367
76,127,850
77,131,763
78,129,364
79,130,497
80,130,69
81,123,377
83,133,467
86,130,197
87,128,484
88,134,383
89,138,439
90,119,570
91,132,571
92,131,823
93,70,296
94,71,280
95,92,280
96,56,279
97,69,517
99,73,202
100,47,202
101,46,36
102,87,142
103,54,171
104,61,500
105,58,193
106,67,376
107,66,355
108,87,496
109,67,494
110,65,142
111,50,167
112,127,3802
113,109,179
114,125,173
115,126,180
116,120,171
117,118,178
118,107,172
119,102,178
120,105,174
121,122,180
122,109,68
123,110,63
124,121,67
125,125,62
126,203,73
127,105,67
128,109,64
129,124,65
130,125,72
131,106,64
132,123,67
133,118,64
134,108,68
135,125,65
136,121,65
137,128,63
138,116,63
139,115,62
158,123,42
159,125,1867
160,121,44
161,115,179
162,107,176
163,111,180
164,115,182
165,109,213
166,107,176
167,124,177
168,119,176
169,106,181
170,119,195
171,106,180
172,122,180
173,110,147
174,116,149
175,109,157
176,116,156
177,119,300
178,115,176
179,125,139
180,109,146
181,117,281
182,120,145
183,110,292
184,148,142
185,116,288
186,120,274
187,123,148
188,118,275
189,125,278
190,127,172
191,127,275
192,117,293
193,122,145
194,141,141
195,126,294
196,112,248
197,133,303
198,107,204
199,107,243
200,113,205
201,207,300
202,177,218
203,1522,310
204,100,782
205,971,381
206,127,228
207,121,331
208,129,215
209,117,258
210,117,210
211,113,308
212,202,222
213,118,399
214,119,244
215,114,41
216,131,1262
217,85,97
218,69,214
219,67,205
220,80,179
221,74,394
222,70,496
223,84,144
224,74,460
225,87,24
226,76,625
227,84,21
228,74,21
229,66,534
230,66,198
231,72,737
232,91,24
233,96,24
234,83,23
235,67,318
236,71,246
237,88,161
238,76,782
239,73,868
240,76,208
241,47,238
242,42,346
243,48,284
244,76,200
245,47,60
246,60,68
247,99,60
248,64,36
249,39,35
250,58,28
251,55,26
252,48,42
253,57,229
254,87,302
255,84,158
256,87,81
257,62,199
258,55,121
259,56,137
260,54,83
261,84,404
262,48,90
263,67,130
264,67,247
265,67,585
266,53,692
267,48,603
268,49,644
269,60,258
270,49,81
271,80,84
272,53,676
273,55,1833
274,45,3747
275,71,133
276,55,63
277,57,141
278,59,66
279,98,70
280,65,70
281,85,89
282,54,66
283,70,19
284,61,275
285,77,199
286,64,11313
287,89,78
288,50,150
289,84,71
290,59,124
291,69,74
292,55,122
293,62,71
294,79,126
295,60,80
296,85,119
297,80,75
298,93,151
299,63,131
300,55,181
301,67,78
302,59,116
303,80,77
304,75,241
305,73,237
306,62,14
307,83,16
308,50,15
309,54,257
310,63,175
311,52,72
312,56,11662
313,91,163
314,73,136
315,54,138
316,77,135
317,56,136
318,52,209
319,63,234
320,87,140
321,95,273
322,118,157
323,90,146
324,67,69
325,71,184
326,65,317
328,69,16
329,57,194
330,58,892
331,71,159
332,71,241
333,58,186
334,50,16
335,50,215
336,64,228
337,40,84
338,48,122
339,56,57
340,51,55
341,64,146
342,96,31
343,38,87
344,59,90
345,41,133
346,48,79
347,52,12829
348,42,225
349,65,934
350,50,8
351,55,2450
352,40,6043
353,50,4258
354,69,2052
355,59,18
356,63,19
357,70,1043
358,74,118
359,80,2600
360,57,16
361,63,15
362,70,4074
363,57,3014
364,87,2926
365,75,2866
366,56,3057
368,66,15
369,76,187
370,59,154
371,64,72
372,75,111
373,96,71
374,56,71
375,69,90
376,81,81
377,66,80
378,93,68
379,85,71
380,56,73
381,58,88
382,76,83
383,62,86
384,111,123
385,55,44
386,42,66
387,80,401
388,44,288
389,99,413
390,44,370
391,42,205
392,51,8003
393,57,3012
394,43,299
395,50,203
396,42,54
397,51,537
398,54,1275
399,42,344
400,60,209
401,59,42
402,47,74
403,56,199
404,65,600
405,38,18
406,56,16
407,54,16
408,58,16
409,65,13
410,69,14
411,78,18
412,84,15
413,71,14
414,59,64
415,64,65
416,52,56
417,82,119
418,41,33
419,66,514
420,62,54
422,50,54
423,80,146
424,98,47
425,51,72
426,47,54
427,64,576
431,52,279
432,72,62
433,71,10145
434,54,304
435,51,282
436,88,248
437,96,225
438,106,231
439,100,278
440,108,289
441,94,156
443,97,60
444,91,27
445,102,28
446,100,159
449,105,100
454,102,124
455,111,338
456,103,282
457,88,99
458,83,95
459,79,91
461,74,21
462,88,21
463,103,997
464,78,874
465,87,612
466,80,1443
467,82,3509
468,88,1163
469,68,73
470,70,57
471,101,955
474,57,4254
475,51,4587
476,51,6885
477,97,1403
478,54,547
479,50,1384
481,65,2492
482,51,1706
483,53,13
484,99,526
485,80,195
486,82,1021
487,58,68
489,56,325
490,54,1036
491,51,1218
492,50,28
493,66,24
494,49,22
495,41,236
496,43,1481
497,45,1072
498,56,19
499,42,739
500,51,364
501,44,933
502,40,906
503,45,1495
504,88,247
505,83,68
506,59,204
507,82,127
508,56,126
509,66,202
510,63,397
511,62,432
512,64,70
513,131,256
514,66,315
515,71,289
516,93,593
517,59,681
518,80,137
519,58,65
520,88,63
522,75,147
523,58,137
524,65,134
526,59,139
527,77,387
528,62,1220
529,59,5000
530,75,208
531,93,5428
532,57,1170
533,64,1066
534,55,6341
535,58,2852
538,80,14
539,79,16
543,73,81
544,83,74
545,70,86
546,66,82
547,99,170
548,92,4562
549,65,253
550,60,3831
551,57,237
552,86,74
553,91,73
554,68,163
555,80,287
556,85,159
557,93,491
558,75,172
559,91,78
560,86,473
561,77,144
562,76,1204
563,85,1930
564,89,81
565,77,135
566,70,153
567,59,140
568,93,168
569,90,166
570,78,258
571,94,151
572,77,160
573,67,169
574,90,8884
575,67,215
576,76,64
577,78,56
578,72,75
579,98,2745
580,103,1681
581,58,89
582,93,136
583,59,1529
584,63,2377
585,54,232
586,57,1380
587,84,563
588,69,62
589,55,478
590,84,127
591,69,416
593,79,157
594,58,148
595,85,151
597,99,498
598,88,490
599,79,108
600,83,107
601,68,113
603,81,125
604,90,145
605,88,324
606,72,646
607,92,60
608,68,80
609,108,80
615,50,28
616,57,60
617,53,33
618,56,260
619,131,225
620,73,190
621,60,133
622,65,151
623,60,106
624,69,91
