no,eclipse,ours
1,133,26
2,66,24
3,81,23
4,83,23
5,82,279
6,84,22
7,76,21
8,78,20
9,59,21
10,69,21
11,59,19
12,61,23
13,66,22
14,90,176
15,94,29
16,91,31
17,86,22
18,82,25
19,72,23
20,71,20
21,2020,4475
22,260,1706
23,90,2754
25,85,1488
26,79,596
27,90,19
28,78,20
30,82,18
32,78,207
33,60,662
34,93,277
35,82,285
37,104,368
39,96,293
40,104,536
41,62,484
42,74,497
44,93,150
45,82,107
46,85,141
47,74,110
49,66,164
50,80,109
51,83,341
52,107,316
53,131,313
54,137,258
55,165,1502
56,95,672
57,124,263
58,95,33
59,137,27
60,148,197
61,87,313
62,160,369
63,69,24
64,115,31
65,82,766
66,65,150
67,95,33
68,74,211
69,117,53
70,99,180
72,81,56
73,89,201
74,104,56
75,90,195
76,97,151
77,79,169
78,97,146
79,97,122
80,108,176
81,73,171
83,80,341
84,90,588
85,81,169
86,95,164
88,94,165
89,90,1148
90,94,1309
92,93,26
93,108,818
94,109,118
96,96,1335
97,89,28
98,93,983
99,87,121
100,88,728
102,91,1478
103,90,692
105,104,1323
106,86,391
107,101,164
108,101,141
109,91,123
110,89,168
111,97,230
114,78,468
115,100,168
117,86,273
119,93,382
120,89,1324
122,109,295
123,80,236
124,102,258
125,105,302
126,100,630
127,89,623
132,103,28
134,77,1368
135,94,184
136,109,172
137,105,252
139,97,1239
140,89,499
141,100,597
146,82,396
147,107,118
148,104,171
150,46,16
151,60,249
152,92,259
153,64,97
154,52,18
155,119,451
156,52,14
157,79,102
158,83,278
159,75,98
160,46,2674
162,67,239
163,59,5267
165,69,79
166,79,542
167,62,62
169,75,133
171,64,65
172,55,64
175,122,3125
176,46,1190
180,71,94
181,63,94
182,65,65
183,56,150
185,70,89
186,57,129
189,71,95
190,55,71
191,54,245
192,70,243
194,70,113
195,48,422
196,60,563
197,62,157
198,49,11
199,71,9
200,91,139
201,63,308
202,74,129
203,49,150
205,70,64
206,87,62
207,82,184
208,66,9
209,63,2112
210,47,9
211,68,131
212,59,6467
213,48,10
214,70,319
215,106,71
216,93,99
217,58,71
218,83,103
219,59,164
220,100,74
221,84,916
222,97,77
223,56,104
224,69,105
225,69,186
226,67,308
227,88,113
228,62,121
229,55,243
230,67,73
231,52,101
232,57,105
233,59,74
234,58,108
235,57,105
236,67,247
237,53,73
238,101,77
239,80,668
240,81,76
241,71,107
242,62,97
243,57,74
244,70,76
245,55,377
246,80,561
247,65,103
248,57,327
249,86,96
250,78,101
251,88,96
252,70,74
253,89,100
254,73,74
255,80,72
256,69,106
257,74,665
258,74,699
259,81,99
260,68,237
261,79,72
262,59,150
263,83,723
264,88,341
265,70,99
266,69,102
267,90,71
268,78,99
269,82,98
270,72,75
271,85,101
272,76,103
273,81,102
274,70,181
275,83,156
276,58,105
277,64,97
278,91,153
279,97,102
280,71,104
281,57,79
282,81,277
283,180,104
284,68,924
285,92,70
286,63,76
