no,eclipse,ours
1,750,8758
2,153,3307
3,172,663
4,148,641
5,154,323
6,133,62
7,133,147
8,144,106
9,146,15073
10,138,159
11,136,18
12,127,21
13,115,40
14,119,176
15,120,109
16,118,19377
17,116,5478
18,100,129
19,122,37
20,109,659
21,119,2326
22,105,1993
23,104,10652
24,100,4546
25,97,9
26,125,6093
27,104,10
28,109,225
29,112,10
30,107,116
31,107,5197
32,102,685
33,65,594
34,118,19962
35,110,1014
36,99,230
37,107,263
38,132,2266
39,99,4887
40,101,57
41,120,9
42,121,9
43,113,33
44,123,84
45,118,75
47,106,50
48,117,145
49,135,687
50,102,14
51,127,2445
52,120,12
53,121,216
54,117,167
55,121,105
56,112,2270
57,108,332
58,99,51
59,103,291
60,106,251
61,97,353
62,96,101
63,112,32
64,116,43
65,124,76
66,128,19673
67,66,105
68,113,244
69,111,182
70,116,48
71,128,26289
72,106,128
73,74,97
74,115,99
75,119,101
76,122,97
77,126,181
78,119,180
79,101,96
80,110,206
81,119,138
82,106,799
83,109,2536
84,99,5161
85,119,619
86,94,103
88,116,223
89,118,325
90,108,383
91,111,5503
92,127,446
93,103,362
94,112,557
95,109,3350
96,96,4479
97,106,98
98,129,265
100,142,183
101,138,220
102,105,210
103,133,1111
104,129,1113
105,115,249
106,107,8
107,111,1490
108,103,219
109,98,376
110,108,190
111,120,211
112,111,1185
113,99,13
114,121,13
115,122,3935
116,102,14
117,114,12
118,114,176
119,151,179
120,114,340
121,154,144
122,128,139
123,109,285
124,114,188
125,114,190
126,105,104
127,135,300
128,106,291
129,111,97
130,109,334
131,111,332
132,113,194
133,116,663
134,109,774
135,73,9
136,110,2137
137,96,943
138,118,1025
