no,eclipse,ours
1,189,36
2,51,378
3,60,276
4,96,1700
5,110,3652
6,81,4695
7,79,453
8,72,427
9,81,418
10,69,69
11,77,952
12,70,192
13,85,121
14,78,235
15,35,2386
16,88,310
17,101,626
18,100,794
19,83,148
20,91,288
21,82,787
22,95,181
23,80,1911
24,77,418
25,81,269
26,58,137
27,39,4608
28,34,207
29,49,150
30,51,51
32,98,471
33,82,821
34,76,255
35,87,244
36,69,243
37,87,254
38,72,253
39,85,381
40,70,254
41,84,327
42,87,5594
43,95,355
44,66,281
45,70,284
46,82,282
47,76,289
48,69,286
49,88,291
50,69,283
51,92,1019
53,85,235
54,86,312
55,61,412
56,54,503
57,66,1144
58,64,477
59,60,23
60,67,257
61,64,1138
62,59,336
63,61,1038
64,81,1941
65,56,515
66,59,307
67,71,336
68,65,159
69,81,187
71,90,33409
72,92,507
73,89,604
74,90,404
75,90,338
76,86,150
77,98,413
78,90,350
79,80,762
80,103,197
81,91,1035
82,88,255
83,63,264
84,65,256
85,60,290
86,61,292
87,87,250
88,46,202
89,43,155
90,40,172
91,44,412
92,44,307
93,38,324
94,42,229
95,49,331
96,46,152
97,43,40
98,43,153
99,42,162
100,52,166
101,44,167
102,42,252
103,58,216
104,45,149
105,41,281
107,51,64
109,50,72
110,61,79
111,67,35301
112,46,36438
113,44,810
114,100,598
115,117,625
116,97,342
117,97,133
118,80,264
119,58,337
120,61,375
121,65,278
122,84,267
123,88,294
124,61,296
125,85,227
126,66,296
127,56,304
128,55,176
129,99,284
130,101,451
131,97,448
132,51,252
133,59,249
134,61,591
135,39,254
136,52,180
137,59,382
138,51,2347
139,44,249
140,70,398
141,54,129
142,53,522
144,57,333
145,54,139
146,48,161
147,49,688
148,69,242
184,52,131
209,67,84
210,54,86
215,72,84
216,89,199
217,71,80
221,104,126
222,89,312
223,91,17482
250,78,1785
251,75,650
252,84,162
253,85,213
254,101,207
255,104,222
256,100,217
257,86,171
258,71,916
259,88,170
260,87,875
262,46,62
264,67,12917
265,58,93
267,88,34607
268,64,22
305,75,354
306,69,354
307,59,1059
308,80,273
309,85,1030
310,55,123
311,53,122
312,54,122
313,75,46
314,52,168
315,62,103
316,42,170
318,66,72
319,49,75
345,49,1014
346,68,387
347,59,181
348,57,13
349,64,175
350,63,325
351,59,15
352,65,175
353,54,187
354,55,754
357,44,41
358,44,45
359,54,119
361,68,170
368,61,451
369,75,92
370,118,204
375,85,184
380,57,133
381,78,173
382,66,129
383,67,154
384,87,146
386,73,7
387,58,8
390,57,7
393,57,8
394,52,218
395,50,26
397,48,25
398,42,116
399,47,21336
400,56,113
401,60,68
402,67,73
403,65,233
404,51,64
405,62,111
406,42,86
407,62,174
408,45,44
409,58,48
410,62,54
411,71,43
412,48,58
413,90,184
414,72,315
415,67,300
416,65,154
417,60,214
418,61,304
419,62,273
420,75,324
421,57,303
422,59,310
423,47,37
424,62,1006
425,54,782
427,78,1172
428,55,919
429,50,1007
430,51,204
431,53,900
432,53,1249
433,64,1874
435,65,1430
436,94,879
437,62,313
438,52,1087
439,48,537
440,85,157
442,88,188
443,59,83
444,66,239
445,54,218
446,48,117
447,46,333
448,51,180
449,57,140
450,100,161
451,44,186
452,57,397
453,136,274
456,111,88
457,134,215
458,130,286
459,125,357
460,114,219
461,116,82
462,132,315
463,117,224
464,111,81
465,122,81
466,117,905
467,130,894
468,125,286
469,119,286
470,110,45
471,114,99
472,110,387
473,116,334
474,112,72
475,153,564
476,114,558
477,156,521
478,115,85
479,127,732
480,110,694
481,115,687
482,114,217
483,110,635
484,111,543
485,129,486
486,112,612
487,117,394
488,130,75
489,116,80
490,118,288
491,81,91
492,54,14
496,75,110
497,54,70
498,67,44
499,45,64
500,46,69
501,52,121
502,45,63
503,47,125
504,64,115
505,43,30
506,53,29
507,44,174
509,72,1284
510,74,1074
512,62,79
513,73,169
514,66,320
516,67,499
517,60,133
518,102,220
519,99,191
520,89,190
521,81,199
522,128,194
523,76,200
524,93,189
525,92,189
526,82,235
527,90,1861
528,81,2148
529,100,107
530,134,60
531,76,1038
532,97,2206
533,88,149
534,90,171
535,95,103
536,91,236
537,93,182
538,90,203
539,97,179
540,138,105
541,78,119
542,91,785
543,126,960
544,73,389
545,94,1166
546,89,825
547,92,154
548,76,718
549,74,492
550,73,22
551,83,719
552,87,1193
553,87,5923
554,93,24
